Name,B,Age,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS
Addison Barger,L,25,45,38,6,8,2,0,2,7,5,13,0,0
Steward Berroa,B,26,86,77,15,15,3,0,0,4,8,24,9,3
Christian Bethancourt,R,33,214,196,19,34,10,0,7,21,11,56,2,1
Robert Brooks,R,26,11,10,1,2,0,0,0,2,1,2,0,0
Dasan Brown,R,23,15,13,4,2,1,0,1,1,2,2,5,2
Devonte Brown,R,25,22,21,1,5,1,0,1,2,1,7,1,0
Phil Clarke,L,27,175,146,21,41,6,0,2,15,25,20,1,0
Jonatan Clase,B,23,352,310,41,79,25,0,7,21,35,90,30,4
Andres Gimenez,L,26,19,18,3,7,0,0,0,1,0,5,1,0
Tyler Heineman,B,34,7,4,1,2,1,0,0,1,2,0,0,1
Eloy Jimenez,R,28,21,18,0,3,1,0,0,0,3,5,0,0
Leo Jimenez,R,24,71,56,12,17,4,0,0,4,11,13,0,1
Josh Kasevich,R,24,114,98,6,17,1,0,0,6,13,20,0,2
Buddy Kennedy,R,26,116,102,15,28,6,0,0,9,12,14,1,0
Alejandro Kirk,R,26,3,3,0,1,0,0,0,2,0,0,0,0
Joey Loperfido,L,26,373,329,46,87,22,1,7,44,29,80,11,1
Nathan Lukes,L,30,7,7,2,4,0,0,1,5,0,1,0,0
Orelvis Martinez,R,23,394,336,38,59,17,1,13,32,47,112,2,0
Ryan McCarty,R,26,28,25,4,6,0,1,1,1,2,8,0,0
Rainer Nunez,R,24,300,270,32,68,12,0,7,30,24,72,2,1
Damiano Palmegiani,R,25,167,138,9,22,7,0,1,15,18,47,0,1
Yohendrick Pinango,L,23,341,293,39,69,19,1,7,47,43,65,1,0
Rene Pinto,R,28,28,28,2,6,2,0,1,5,0,11,0,0
Josh Rivera,R,24,394,336,44,76,15,1,6,30,53,124,1,1
Will Robertson,L,27,233,192,39,56,11,1,14,44,36,57,1,2
Alan Roden,L,25,142,121,25,40,9,1,3,18,16,13,4,1
Ali Sanchez,R,28,199,179,24,50,7,0,6,28,18,47,0,0
Anthony Santander,B,30,38,32,4,7,2,0,2,5,6,6,0,0
Davis Schneider,R,26,160,133,17,30,6,2,4,18,24,46,3,1
RJ Schreck,L,24,234,186,32,45,7,1,9,33,38,49,2,0
George Springer,R,35,6,5,3,2,1,0,1,1,1,0,0,0
Michael Stefanic,R,29,442,363,48,104,17,0,6,51,59,44,6,6
Riley Tirotta,R,26,463,403,61,108,20,2,12,60,53,137,13,3
Michael Turconi,L,26,28,23,4,3,1,0,0,3,4,8,0,0
Brandon Valenzuela,B,24,105,92,9,19,6,0,3,12,12,32,0,0
Daulton Varsho,L,28,33,30,2,4,0,0,1,5,1,8,0,0
Will Wagner,L,26,79,71,13,19,4,0,3,13,8,12,1,0
