Player,B,Age,PO,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS
Jacob Amaya,R,26,SS,219,188,25,47,5,0,9,28,29,64,5,4
Dru Baker,R,25,CF,276,250,33,64,9,2,5,17,17,81,16,5
Brooks Baldwin,B,24,CF,132,117,29,43,5,2,12,25,12,22,4,4
Andrew Benintendi,L,30,LF,8,8,0,1,0,0,0,1,0,1,0,0
Mario Camilletti,L,26,LF,41,33,3,9,0,0,0,2,8,6,1,0
Vinny Capra,R,28,SS,99,84,15,24,2,1,3,10,12,23,3,0
Oscar Colas,L,26,RF,49,43,8,5,4,0,0,6,6,17,2,0
Caden Connor,L,24,1B,45,39,6,13,0,0,1,7,5,10,1,2
Ben Cowles,R,25,2B,65,59,6,13,2,1,0,5,5,20,2,2
Bobby Dalbec,R,30,3B,48,46,9,15,3,1,4,13,2,16,1,0
Zach DeLoach,L,26,RF,181,157,25,37,11,1,5,22,22,50,4,2
Brandon Drury,R,32,1B,47,39,5,7,1,0,1,3,7,10,0,0
Weston Eberly,R,24,C,9,8,0,0,0,0,0,0,1,3,0,0
Tim Elko,R,26,1B,414,373,64,109,19,0,26,70,34,123,2,0
Dominic Fletcher,L,27,CF,446,404,56,105,19,4,17,68,29,87,7,4
Jacob Gonzalez,L,23,2B,171,147,15,30,7,0,2,14,20,34,5,0
Juan Gonzalez,R,24,C,8,7,1,2,1,0,0,2,0,1,0,0
Tristan Gray,L,29,2B,282,248,40,67,15,4,9,44,24,67,3,1
Adam Hackenberg,R,25,C,143,133,12,29,8,0,1,11,10,37,3,0
Matt Hogan,L,25,LF,12,12,0,3,0,0,0,0,0,6,0,0
Travis Jankowski,L,34,CF,25,23,6,6,0,0,1,2,2,5,0,0
Greg Jones,B,27,CF,71,62,3,9,1,0,2,9,5,30,7,3
Corey Julks,R,29,LF,487,436,77,131,30,1,15,58,48,99,18,3
Korey Lee,R,26,C,240,220,34,56,9,0,8,28,17,55,5,0
Andre Lipcius,R,27,1B,421,371,56,89,21,1,18,71,37,77,3,2
Drake Logan,R,24,RF,41,36,7,11,3,0,0,5,5,13,2,0
Nick Maton,L,28,2B,65,52,6,10,2,0,2,8,11,23,0,0
Jason Matthews,R,28,2B,52,43,14,15,0,2,1,4,6,17,1,0
Curtis Mead,R,24,2B,10,7,2,4,2,0,0,2,3,2,0,0
Chase Meidroth,R,23,SS,40,30,11,8,1,0,3,4,8,5,2,0
Calvin Mitchell,L,26,RF,27,27,0,3,1,0,0,0,0,14,1,1
Colson Montgomery,L,23,SS,242,216,27,47,10,2,11,30,19,82,2,1
Omar Narvaez,L,33,C,63,55,6,12,1,0,2,5,6,13,0,0
Ryan Noda,L,29,1B,28,23,6,3,1,0,1,2,5,10,0,0
Joshua Palacios,L,29,RF,82,66,7,13,3,0,3,9,11,16,3,3
Edgar Quero,B,22,C,63,51,9,17,1,0,1,4,11,14,0,0
Bryan Ramos,R,23,3B,431,371,60,80,17,1,16,51,42,96,13,4
Will Robertson,L,27,RF,121,109,19,31,10,1,6,16,12,31,0,1
Josh Rojas,L,31,SS,13,12,0,1,1,0,0,1,1,3,0,1
Blake Sabol,L,27,C,86,74,10,16,3,0,3,13,9,25,0,2
Miguel Santos,R,24,2B,4,2,0,0,0,0,0,0,2,0,0,0
Austin Slater,R,32,RF,17,13,3,5,1,0,0,2,4,3,0,0
Lenyn Sosa,R,25,3B,10,10,0,1,1,0,0,0,0,4,0,0
Mike Tauchman,L,34,RF,43,36,3,4,0,0,1,4,6,13,0,0
Kyle Teel,L,23,C,213,183,34,54,10,1,8,30,30,54,7,1
Andrew Vaughn,R,27,1B,67,57,9,12,2,0,2,11,10,10,0,0
Gage Workman,L,25,3B,12,8,3,2,0,0,0,1,4,6,2,0

