Player,B,Age,PO,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS
Dru Baker,R,25,2B,61,53,10,13,0,0,1,3,8,11,1,3
Tres Barrera,R,30,C,156,143,17,34,4,0,7,26,9,42,0,0
Jalen Battles,R,25,3B,59,50,7,12,1,0,0,2,7,13,2,2
Jonny DeLuca,R,26,CF,56,50,8,6,1,0,0,1,5,11,0,0
Cooper Hummel,B,30,LF,121,93,24,29,2,2,11,26,24,30,1,2
Travis Jankowski,L,34,RF,12,7,0,2,1,0,0,0,5,0,2,1
Eloy Jimenez,R,28,RF,167,151,14,42,9,0,3,29,13,29,1,0
Brock Jones,L,24,RF,77,73,12,11,3,0,5,13,4,42,5,1
Dominic Keegan,R,24,C,297,266,34,64,16,2,10,36,24,91,0,0
Ha-Seong Kim,R,29,SS,91,72,11,15,3,0,0,6,15,10,6,0
Josh Lowe,L,27,RF,22,17,3,4,0,0,1,2,4,6,1,0
Jake Mangum,B,29,CF,22,18,2,8,1,0,0,3,4,3,0,0
Curtis Mead,R,24,3B,59,53,10,14,2,0,3,7,4,15,0,0
Kameron Misner,L,27,CF,165,138,25,29,8,0,8,18,25,43,9,2
Coco Montes,R,28,LF,415,375,44,82,19,0,8,38,32,123,7,2
Tre' Morgan,L,22,1B,402,328,53,90,15,3,8,45,64,77,8,4
Tanner Murray,R,25,3B,572,522,67,126,29,0,18,58,39,138,5,4
Richie Palacios,L,28,LF,82,76,7,12,2,0,2,3,6,20,3,1
Everson Pereira,R,24,CF,34,29,3,8,1,0,2,5,5,10,0,1
Tristan Peters,L,25,CF,555,482,73,128,28,3,15,76,65,102,11,7
Kenny Piper,R,26,C,185,157,28,30,5,0,8,24,20,56,9,0
Ben Rortvedt,L,27,C,73,60,9,11,3,0,1,5,11,27,0,1
Bob Seymour,L,26,1B,443,403,70,106,21,3,30,87,38,114,1,0
Chandler Simpson,L,24,CF,156,144,24,48,3,3,0,14,9,15,19,3
Ryan Spikes,R,22,3B,11,11,2,4,0,0,0,2,0,2,0,0
Andrew Stevenson,L,31,RF,202,180,19,53,14,1,5,22,20,45,18,6
Hunter Stovall,R,28,3B,100,86,16,23,4,0,1,4,10,22,7,0
Matt Thaiss,L,30,C,65,55,3,11,3,0,1,8,9,13,0,0
Jamie Westbrook,R,30,2B,430,372,47,99,29,0,7,49,43,70,2,0
Carson Williams,R,22,SS,451,389,72,83,12,5,23,55,56,154,22,6
