Player,B,Age,PO,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS
Ronald Acuna Jr.,R,27,RF,19,12,6,5,2,0,1,1,7,2,0,0
Eddy Alvarez,L,35,2B,197,159,28,28,5,0,5,14,28,45,10,3
Nacho Alvarez Jr.,R,22,3B,79,63,10,16,3,0,1,7,11,15,0,1
Jesus Bastidas,R,26,2B,159,139,20,36,6,0,4,15,19,40,4,1
Matthew Batten,R,30,1B,399,360,32,69,14,1,11,36,34,104,12,3
Cade Bunnell,L,28,1B,112,99,8,21,5,0,2,11,11,46,1,0
Elio Campos,R,21,,0,0,1,0,0,0,0,0,0,0,0,0
Conner Capel,L,28,RF,414,367,43,86,10,3,10,39,42,83,21,4
Cal Conley,B,25,2B,17,16,2,4,1,0,0,0,1,5,0,0
Garrett Cooper,R,34,1B,138,123,8,28,4,0,2,17,13,33,1,0
Bryan De La Cruz,R,28,RF,43,40,1,8,1,0,0,1,3,14,0,0
Jason Delay,R,30,C,214,195,13,42,8,0,0,12,14,37,1,0
Jose Devers,L,25,2B,110,98,10,28,5,0,2,17,9,15,1,1
Stuart Fairchild,R,29,CF,13,12,3,5,1,0,0,0,1,3,1,0
David Fletcher,R,31,3B,217,205,12,37,9,0,3,15,7,30,3,0
Jim Jarvis,L,24,SS,10,9,2,3,2,0,0,2,0,2,0,0
Jarred Kelenic,L,25,CF,399,362,40,77,17,3,4,29,36,110,11,8
Charles Leblanc,R,29,3B,95,79,8,23,2,0,0,8,12,19,0,1
Sandy Leon,B,36,C,211,187,19,31,6,0,10,19,18,66,2,0
Eddys Leonard,R,24,3B,494,439,48,105,18,4,20,61,36,95,11,5
Jake Marisnick,R,34,CF,45,41,5,4,1,0,1,1,3,13,1,0
David McCabe,B,25,1B,112,98,8,23,4,0,4,19,13,32,1,0
James McCann,R,35,C,160,148,19,44,11,0,6,30,9,41,0,0
Cody Milligan,L,26,LF,169,142,17,30,4,3,0,10,23,45,12,3
Sean Murphy,R,30,C,10,10,1,2,0,0,1,2,0,1,0,0
Joe Olsavsky,R,23,2B,3,2,0,0,0,0,0,0,0,2,0,0
Jonathan Ornelas,R,25,SS,333,295,35,57,3,3,10,28,33,86,6,5
Jurickson Profar,B,32,LF,59,48,7,16,3,0,3,9,8,6,0,0
Carlos Rodriguez,L,24,LF,533,474,53,117,10,1,8,32,49,68,17,8
Luis Sanchez,R,21,3B,4,3,0,1,0,0,0,1,1,0,0,2
Chandler Seagle,R,29,C,54,52,6,11,3,0,0,0,1,16,0,0
Alex Verdugo,L,29,LF,33,29,8,6,1,0,2,4,4,4,1,0
Luke Waddell,L,26,SS,380,324,34,88,17,1,1,30,46,47,5,2
Luke Williams,R,28,3B,96,88,4,10,1,0,0,2,7,32,3,0
Brett Wisely,L,26,SS,9,8,0,3,1,0,0,0,1,1,0,0
Adam Zebrowski,R,24,C,11,10,1,2,1,0,0,1,1,3,1,0
