Player,B,Age,PO,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS
Kevin Alcantara,R,22,CF,430,379,55,101,26,0,17,69,48,128,10,4
Greg Allen,B,32,LF,231,200,31,54,14,1,6,32,15,52,11,3
Miguel Amaya,R,26,C,45,41,2,8,0,0,0,5,3,7,0,0
Moises Ballesteros,L,21,C,509,446,62,141,29,1,13,76,49,67,5,2
Vidal Brujan,B,27,CF,13,13,0,4,1,0,0,0,0,4,1,0
Owen Caissie,L,22,RF,433,370,74,106,28,2,22,55,57,121,5,4
Hayden Cantrelle,B,26,2B,278,235,37,55,9,1,4,28,33,91,19,4
Parker Chavers,L,26,RF,101,85,11,15,3,1,0,9,16,28,3,1
Tom Cosgrove,L,29,P,1,1,0,0,0,0,0,0,0,1,0,0
Ben Cowles,R,25,SS,462,421,55,100,28,3,9,44,33,132,16,6
Christian Franklin,R,25,CF,390,321,61,85,20,4,8,41,63,80,11,5
Billy Hamilton,R,34,,0,0,2,0,0,0,0,0,0,0,3,2
Darius Hill,L,27,LF,114,99,15,21,6,1,1,9,12,25,1,0
Ed Howard,R,23,2B,9,8,1,2,1,0,0,2,1,4,0,0
Caleb Knight,R,29,C,71,66,7,14,5,0,2,10,2,21,1,1
Jonathon Long,R,23,1B,607,514,86,157,23,3,20,91,79,116,2,0
Nicky Lopez,L,30,SS,127,100,13,27,6,1,0,7,21,17,2,2
Dixon Machado,R,33,3B,331,272,36,60,10,0,4,34,50,59,4,2
Reese McGuire,L,30,C,86,75,11,21,5,0,3,19,10,12,2,0
Rafael Morel,R,23,LF,37,33,2,4,1,0,0,4,4,15,1,0
Casey Opitz,B,26,C,1,1,0,0,0,0,0,0,0,1,0,0
Jaylen Palmer,R,24,RF,4,4,0,0,0,0,0,0,0,1,0,0
Carlos Perez,R,34,C,465,402,75,115,32,1,27,87,51,77,1,1
Will Sanders,L,23,P,2,2,0,0,0,0,0,0,0,2,0,0
Matt Shaw,R,23,3B,110,91,22,26,5,1,6,14,17,11,5,0
Chase Strumpf,R,27,3B,392,321,52,71,16,2,13,49,63,120,10,0
James Triantos,R,22,2B,444,407,65,105,20,2,7,43,31,67,28,10
Forrest Wall,L,29,LF,60,49,13,12,3,0,2,13,10,15,8,3
