Player,B,Age,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS
Maximo Acosta,R,22,465,410,56,92,13,3,13,50,50,123,33,9
Kemp Alderman,R,22,82,76,13,23,7,0,7,17,5,22,2,1
Albert Almora,R,31,159,146,20,35,8,0,1,15,9,33,4,2
Jacob Berry,B,24,469,406,57,106,28,1,8,54,49,87,27,8
Spencer Bramwell,R,26,8,8,2,4,1,0,0,1,0,2,0,0
Rob Brantly,L,35,41,39,5,14,6,0,1,7,2,8,0,0
Tony Bullard,R,25,12,9,1,0,0,0,0,1,1,4,1,0
Mark Coley,R,24,19,14,2,3,0,0,1,2,3,5,1,1
Griffin Conine,L,27,35,24,7,7,1,0,2,9,11,9,0,0
Deyvison De Los Santos,R,22,444,399,54,96,11,1,12,54,36,99,16,6
Xavier Edwards,B,25,8,7,0,1,0,0,0,1,1,0,1,0
Matthew Etzel,L,23,121,102,13,28,3,0,2,13,16,29,9,2
Nick Fortes,R,28,7,6,0,0,0,0,0,0,1,2,0,0
Dub Gleed,R,22,3,2,0,0,0,0,0,0,1,0,0,0
Heriberto Hernandez,R,25,163,141,21,31,4,1,9,21,19,57,6,2
Derek Hill,R,29,47,41,3,7,2,0,0,2,5,14,3,1
Bennett Hostetler,R,27,120,95,9,17,4,0,0,9,15,39,9,1
Troy Johnston,L,28,354,314,49,79,15,4,12,39,28,68,31,5
Otto Lopez,R,26,4,4,2,1,1,0,0,1,0,1,0,1
Joe Mack,L,22,412,364,58,91,18,2,18,53,35,115,8,3
Jakob Marsee,L,24,429,345,56,85,14,5,14,37,68,81,47,13
Nathan Martorella,L,24,152,131,15,26,3,1,4,14,17,33,5,0
Matt Mervis,L,27,145,132,27,33,5,2,13,30,11,39,4,0
Vactor Mesa Jr.,L,23,171,153,19,46,9,1,7,30,17,28,4,1
Cody Morissette,L,25,63,56,6,12,5,1,2,8,6,20,5,0
Dane Myers,R,29,15,12,3,2,0,0,0,1,3,4,0,0
Brian Navarreto,R,30,176,153,22,35,5,1,6,27,16,39,3,0
Connor Norby,R,25,40,35,6,12,1,0,3,8,4,8,0,0
Johnny Olmstead,R,24,132,111,15,22,5,2,1,12,16,31,9,4
Graham Pauley,L,24,155,137,19,36,10,0,8,21,14,18,5,0
Andrew Pintar,R,24,332,297,38,80,18,2,4,32,27,98,23,4
Agustin Ramirez,R,23,80,71,13,18,7,0,3,12,7,19,5,0
Grant Richardson,L,25,3,3,1,1,0,0,0,0,0,1,0,0
Dalvy Rosario,R,24,64,56,6,8,0,1,2,5,6,19,0,0
Jesus Sanchez,L,27,11,10,2,3,1,0,0,0,1,3,1,0
Shane Sasaki,R,24,80,68,11,15,2,0,0,10,7,14,6,1
Jared Serna,R,23,41,34,7,8,2,0,0,2,7,6,5,0
Ronny Simon,B,25,60,48,8,17,1,2,1,9,9,10,4,1
Harrison Spohn,R,26,123,103,7,16,2,0,0,10,18,54,2,3
Kyle Stowers,L,27,4,3,0,0,0,0,0,0,1,0,0,0
Joey Wiemer,R,26,41,33,6,12,5,0,2,10,7,8,1,1
Jack Winkler,R,26,281,249,34,56,9,0,6,26,26,79,25,0
