Player,B,Age,PO,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS
Will Banfield,R,25,C,270,243,22,52,13,0,2,23,18,69,0,0
Will Benson,L,27,RF,178,153,32,42,5,1,7,33,22,49,6,0
Bryson Brigman,R,30,2B,151,135,20,32,4,0,1,9,14,27,5,1
Tyler Callihan,L,25,2B,106,89,19,27,4,2,4,12,16,29,6,1
Jeimer Candelario,B,31,3B,66,57,7,12,4,0,1,10,6,19,0,0
Blake Dunn,R,26,CF,422,354,59,103,14,2,7,40,54,102,24,3
Christian Encarnacion-Strand,R,25,3B,252,229,33,56,20,2,11,37,17,62,0,0
Trey Faltine,R,24,SS,57,54,8,10,5,2,0,2,2,26,0,1
Jake Fraley,L,30,LF,29,27,3,5,1,0,1,2,2,4,1,0
Austin Hays,R,29,LF,10,9,2,2,0,0,1,2,0,5,1,0
P.J. Higgins,R,32,C,408,371,36,89,16,1,7,42,29,75,0,1
Rece Hinds,R,24,CF,436,391,79,118,26,2,24,83,33,113,21,5
Jacob Hurtubise,L,27,LF,133,97,21,14,4,0,0,8,22,29,7,0
Connor Joe,R,32,1B,131,113,15,23,5,2,0,13,16,26,1,1
Ivan Johnson,B,26,LF,202,172,35,38,6,0,7,25,30,59,10,2
Levi Jordan,R,29,SS,461,414,53,98,20,2,7,30,36,67,17,2
Noelvi Marte,R,23,3B,53,43,8,14,6,0,1,10,8,7,3,1
Edwin Rios,L,31,1B,546,472,69,116,23,2,26,94,63,180,0,1
Hector Rodriguez,L,21,LF,230,215,34,56,8,1,7,20,12,38,9,2
Jack Rogers,L,26,RF,187,168,16,42,9,0,3,30,14,60,0,1
Tyler Stephenson,R,28,C,40,33,6,5,1,0,2,4,6,9,0,0
Sal Stewart,R,21,3B,165,143,27,45,15,0,10,36,19,26,4,1
Francisco Urbaez,R,27,2B,411,360,58,113,32,5,4,50,38,40,5,4
Ryan Vilade,R,26,RF,269,233,42,69,18,1,12,35,26,51,6,1
Davis Wendzel,R,28,SS,356,307,50,77,17,0,13,53,37,63,1,0
Eric Yang,R,27,C,99,85,6,20,1,0,0,10,8,29,0,0
