Name,B,Age,PO,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS
Jorge Alfaro,R,32,C,326,307,49,75,10,1,15,49,11,119,12,0
Drew Avans,L,29,CF,222,199,31,50,11,0,4,24,20,54,24,3
Jake Bauers,L,29,1B,22,19,4,4,1,0,3,5,3,8,0,0
Steward Berroa,B,26,CF,105,82,14,16,3,0,1,7,18,33,11,3
Tyler Black,L,24,LF,268,222,33,54,10,2,4,34,43,71,22,3
Daz Cameron,R,28,LF,278,237,49,68,14,3,18,54,32,62,18,6
Jackson Chourio,R,21,CF,21,19,1,1,1,0,0,0,2,8,0,0
Wes Clarke,R,25,1B,182,148,18,32,3,0,6,16,32,55,2,0
Bobby Dalbec,R,30,RF,264,229,36,61,15,1,12,44,30,89,3,0
Ray Delgado,L,25,2B,474,413,58,116,19,3,5,53,48,95,40,8
Oliver Dunn,L,27,3B,465,400,53,83,18,5,8,43,54,146,25,5
Caleb Durbin,R,25,3B,58,54,12,15,5,0,2,3,3,5,3,2
Eric Haase,R,32,C,77,64,6,13,4,0,1,15,11,20,0,0
Adam Hall,R,26,LF,160,144,14,32,4,3,1,11,8,56,12,0
Jimmy Herron,R,28,RF,270,237,33,52,5,1,3,23,23,59,18,0
Rhys Hoskins,R,32,1B,62,51,8,14,4,0,2,6,9,13,2,0
Nick Kahle,R,27,C,77,68,9,17,4,0,2,14,5,20,0,0
Brandon Lockridge,R,28,CF,63,57,12,20,3,0,0,7,6,11,4,0
Ernesto Martinez Jr.,L,26,1B,311,263,40,67,13,2,6,40,39,81,1,3
Garrett Mitchell,L,26,CF,11,9,5,5,0,0,0,1,2,1,0,0
Andruw Monasterio,R,28,SS,130,112,18,28,6,0,4,11,16,31,8,3
Ethan Murray,R,25,2B,114,101,13,20,2,0,1,12,10,32,4,1
Jared Oliva,R,29,RF,398,349,63,88,15,4,11,44,35,82,57,6
Blake Perkins,B,28,CF,34,26,6,5,1,0,1,2,8,13,2,1
Jeferson Quero,R,22,C,250,216,32,55,14,1,6,44,25,35,2,0
Eddie Rosario,L,33,LF,83,69,13,20,5,0,2,11,11,17,6,1
Anthony Seigler,L,26,2B,307,249,51,71,16,4,8,39,52,59,23,4
Garrett Spain,L,24,RF,43,37,4,6,2,0,0,2,4,15,3,0
Luis Urias,R,28,3B,57,50,6,13,3,0,1,11,6,6,1,0
Andrew Vaughn,R,27,1B,65,58,8,15,3,1,3,16,7,13,0,0
Freddy Zamora,R,26,SS,396,339,49,87,19,0,4,46,50,70,13,7
