Player,B,Age,PO,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS
Jordyn Adams,R,25,CF,310,272,41,58,7,4,10,44,29,94,14,5
Silas Ardoin,R,24,C,108,93,12,24,4,0,4,11,15,31,0,0
David Banuelos,R,28,C,63,56,4,6,3,0,1,2,7,21,0,0
Jose Barrero,R,27,SS,218,195,22,37,6,0,8,27,15,68,9,3
Samuel Basallo,L,20,C,321,270,49,73,17,0,23,67,44,76,0,0
Dylan Beavers,L,23,RF,418,342,78,104,14,2,18,51,68,76,23,5
TT Bowens,R,27,1B,296,268,41,67,13,1,16,50,23,91,0,0
Enrique Bradfield,L,23,CF,62,56,9,10,1,1,1,5,4,19,6,1
Daz Cameron,R,28,CF,21,18,1,4,1,0,0,3,2,6,0,0
Dylan Carlson,B,26,CF,126,102,26,30,4,0,4,17,23,25,4,0
Colton Cowser,L,25,LF,13,11,2,6,4,0,0,3,2,2,1,0
Jud Fabian,R,24,CF,431,350,56,64,11,1,15,39,72,136,8,1
Nick Gordon,L,29,2B,14,13,4,4,1,0,0,0,1,4,1,1
Maverick Handley,R,27,C,154,128,17,33,7,2,1,10,23,32,3,1
Hudson Haskin,R,26,RF,60,51,8,10,1,0,1,6,5,16,0,2
Gunnar Henderson,L,24,SS,20,19,2,5,0,0,2,4,1,4,0,0
Jeremiah Jackson,R,25,SS,171,162,29,61,15,0,11,22,6,20,9,4
Daniel Johnson,L,29,RF,21,19,2,3,1,0,0,3,1,6,0,0
Heston Kjerstad,L,26,RF,112,101,7,15,2,1,2,6,10,30,0,1
Ramon Laureano,R,30,RF,8,8,3,3,1,0,1,1,0,2,0,0
Vimael Machin,L,31,2B,505,454,60,130,28,2,18,79,44,90,15,4
Jorge Mateo,R,30,SS,47,44,2,14,2,0,1,4,3,7,2,0
Coby Mayo,R,23,1B,195,168,24,38,10,2,8,28,23,53,1,1
Ryan Mountcastle,R,28,1B,37,31,8,12,4,0,3,10,5,5,0,0
Ryan Noda,L,29,1B,55,33,11,5,0,0,2,4,18,19,2,0
Tyler O'Neill,R,30,RF,30,27,5,10,0,0,1,2,3,5,0,0
Connor Pavolony,R,25,C,40,37,5,6,1,0,0,3,2,12,0,0
Fernando Peguero,B,20,2B,83,74,8,12,3,0,1,10,9,21,4,0
Jakson Reetz,R,29,C,78,61,8,11,4,0,0,5,13,22,2,1
Emmanuel Rivera,R,29,3B,246,222,20,66,8,1,1,31,19,50,3,0
Noelberth Romero,R,23,3B,10,10,0,1,0,0,0,0,0,2,0,0
Adley Rutschman,B,27,C,34,26,3,6,2,0,1,2,7,6,0,0
Gary Sanchez,R,32,C,57,49,11,18,1,0,6,13,5,11,0,0
Livan Soto,L,25,SS,366,313,42,61,5,0,5,30,44,80,3,1
Jacob Stallings,R,35,C,12,10,2,4,0,0,0,2,2,3,0,0
Reed Trimble,B,25,RF,119,108,21,28,4,0,5,12,9,32,8,0
Chadwick Tromp,R,30,C,103,92,11,23,2,0,3,12,11,23,0,0
Terrin Vavra,L,28,2B,298,253,34,65,13,1,2,25,34,58,7,1
Luis Vazquez,R,25,SS,174,155,19,42,5,1,5,23,13,37,4,2
Jordan Westburg,R,26,3B,43,39,8,13,4,0,4,9,3,10,0,0
Carter Young,L,24,2B,23,21,4,7,2,0,0,3,2,4,0,0
