Name,B,Age,PO,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS
Colton Becker,R,24,2B,1,1,0,0,0,0,0,0,0,1,0,0
Cavan Biggio,L,30,3B,176,151,26,43,11,2,4,23,20,37,1,1
Dairon Blanco,R,32,LF,295,257,49,65,13,1,8,26,24,64,32,3
Jac Caglianone,L,22,RF,129,112,26,40,6,0,11,29,12,20,1,0
Mark Canha,R,36,LF,33,27,5,6,1,0,1,1,6,9,0,0
Diego Castillo,R,27,3B,217,191,34,54,9,0,6,26,26,41,0,3
Harold Castro,L,31,3B,403,368,54,113,18,2,21,65,26,78,7,2
Bobby Dalbec,R,30,3B,143,127,20,32,9,0,8,25,13,50,1,0
Cam Devanney,R,28,SS,288,246,41,67,14,2,18,55,34,70,3,1
Isan Diaz,L,29,SS,154,132,16,25,1,0,7,18,19,38,0,0
Dustin Dickerson,R,24,SS,46,38,6,12,2,0,0,4,6,5,1,0
Tyler Gentry,R,26,RF,332,291,39,60,17,2,9,34,28,89,4,1
Nick Gordon,L,29,2B,55,50,5,13,3,0,0,4,5,18,2,1
Jordan Groshans,R,25,3B,25,20,4,4,2,0,0,2,4,3,0,0
Kyle Hayes,R,27,C,29,21,3,3,1,0,0,2,4,10,0,0
Carter Jensen,L,21,C,184,153,32,44,11,1,14,39,30,52,3,0
Nick Loftin,R,26,3B,197,152,30,46,12,0,4,24,39,24,12,1
Luke Maile,R,34,C,101,82,13,23,3,0,1,12,18,22,2,0
Rudy Martin,L,29,RF,26,26,2,5,1,0,1,1,0,4,0,1
Michael Massey,L,27,LF,106,97,13,25,5,0,4,11,6,21,0,0
MJ Melendez,L,26,LF,480,433,70,113,33,3,20,64,39,135,20,8
Brian O'Keefe,R,31,C,162,146,17,23,5,0,4,10,15,43,2,0
Nick Pratto,L,26,1B,423,372,49,73,19,2,9,42,46,125,8,0
John Rave,L,27,CF,274,235,57,67,13,4,11,34,32,61,19,1
Tyler Tolbert,R,27,2B,115,98,20,26,5,0,3,14,9,30,11,4
Luca Tresh,R,25,C,271,243,24,63,16,3,10,37,21,59,3,0
Nelson Velazquez,R,26,RF,131,114,12,23,0,1,6,14,16,33,4,1
Drew Waters,B,26,CF,231,208,34,49,10,2,7,29,21,67,7,1
Joey Wiemer,R,26,CF,296,253,32,46,6,0,9,38,34,79,12,1
Peyton Wilson,B,25,2B,319,278,26,62,13,1,3,31,34,85,12,2
