Name,B,Age,PO,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS
Armando Alvarez,R,30,3B,153,137,19,31,7,0,4,22,14,44,0,0
Kyle Bischoff,R,25,P,1,1,0,0,0,0,0,0,0,1,0,0
Jacob Bosiokovic,R,31,P,1,1,0,0,0,0,0,0,0,1,0,0
Jonah Bride,R,29,3B,175,139,28,39,9,0,5,24,33,33,1,1
Jair Camargo,R,25,C,120,113,11,24,6,0,2,13,7,46,1,0
Noah Cardenas,R,25,C,129,107,16,25,3,0,7,16,20,26,0,0
Diego Cartaya,R,23,C,69,59,4,5,0,0,1,1,9,40,0,0
Payton Eeles,L,25,SS,378,308,51,78,7,1,4,32,47,65,21,7
Kyler Fedko,R,25,LF,187,164,29,44,10,0,8,24,21,41,12,2
Ryan Fitzgerald,L,31,SS,245,213,30,59,16,2,7,31,28,58,5,4
Mike Ford,L,32,1B,191,163,24,39,8,0,8,27,27,47,0,2
Mickey Gasper,B,29,C,208,179,32,51,14,0,10,26,25,38,2,0
Gabriel Gonzalez,R,21,RF,148,133,14,42,7,0,6,23,9,28,2,2
Will Holland,R,27,SS,261,223,37,44,8,0,8,32,26,76,11,3
Maddux Houghton,R,26,CF,5,5,2,1,0,0,1,1,0,3,0,0
Walker Jenkins,L,20,CF,102,91,13,22,6,1,2,8,9,26,4,0
Edouard Julien,L,26,2B,299,239,33,66,8,2,11,34,53,82,5,1
Luke Keaschall,R,22,2B,118,95,16,25,2,1,1,9,17,17,11,2
DaShawn Keirsey Jr.,L,28,CF,161,140,23,35,11,3,3,23,17,36,7,0
Brooks Lee,B,24,1B,11,10,0,3,0,0,0,0,1,2,0,0
Royce Lewis,R,26,3B,33,31,3,4,1,0,0,1,1,8,0,0
Christian MacLeod,L,25,P,1,1,0,0,0,0,0,0,0,1,0,0
Austin Martin,R,26,CF,137,113,13,36,6,0,1,14,21,17,2,2
Carson McCusker,R,27,RF,438,390,57,96,25,0,22,70,36,148,5,2
Jose Miranda,R,27,3B,371,334,31,65,13,0,7,28,30,57,1,0
Jeferson Morales,R,26,LF,269,229,37,57,11,3,6,26,29,49,4,1
James Outman,L,28,CF,57,51,9,12,2,1,3,10,6,19,3,0
Jhonny Pereda,R,29,C,87,68,13,20,6,1,2,10,18,17,0,0
Anthony Prato,R,27,2B,284,228,38,59,9,1,4,20,37,48,16,3
Emmanuel Rodriguez,L,22,CF,212,163,35,42,7,1,6,27,45,67,9,3
Aaron Sabato,R,26,1B,264,245,28,60,7,1,14,41,15,83,0,0
Tanner Schobel,R,24,3B,103,91,7,20,5,0,2,9,10,33,0,1
Yunior Severino,B,25,3B,125,102,14,20,7,0,2,10,23,44,1,0
Dalton Shuffield,R,26,CF,21,20,1,3,0,0,0,0,1,7,0,0
Christian Vazquez,R,34,P,18,15,3,2,0,0,1,4,3,1,0,0
Matt Wallner,L,27,RF,27,25,8,8,1,0,5,13,2,6,0,0
Jarret Whorff,R,26,P,1,1,0,0,0,0,0,0,0,0,0,0
Patrick Winkel,L,25,C,180,166,14,36,7,0,7,25,13,59,0,0
