Player,B,Age,PO,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS
Luisangel Acuna,R,23,SS,122,109,16,33,7,1,0,10,9,19,8,2
Francisco Alvarez,R,23,C,107,93,19,24,4,0,12,28,11,33,0,0
Jose Azocar,R,29,CF,291,261,41,63,13,2,4,28,24,59,17,6
Brett Baty,L,25,2B,11,10,2,3,2,0,0,3,1,3,0,0
Carson Benge,L,22,CF,103,90,12,16,1,1,3,13,9,19,3,0
Diego Castillo,R,27,2B,46,42,1,7,1,0,1,5,3,10,0,0
Gilberto Celestino,R,26,RF,426,372,66,101,12,1,9,40,51,93,13,2
Ryan Clifford,L,21,LF,142,114,15,25,5,0,5,18,22,35,3,2
Luis De Los Santos,R,27,3B,382,356,51,86,11,0,8,42,18,95,3,1
Omar De Los Santos,R,25,RF,33,33,5,10,0,1,3,8,0,14,2,2
Drew Gilbert,L,24,CF,361,305,45,74,17,2,12,47,41,60,4,3
Niko Goodrum,B,33,2B,46,35,6,8,3,0,1,3,8,12,2,2
Yonny Hernandez,B,27,SS,361,314,48,102,16,3,1,33,35,35,8,3
Travis Jankowski,L,34,CF,38,35,7,7,0,0,1,5,3,7,2,0
Rowdey Jordan,R,26,LF,8,8,1,2,0,0,0,1,0,3,0,0
Ronny Mauricio,B,24,2B,39,33,10,17,1,0,3,8,5,5,4,1
Billy McKinney,L,30,LF,130,114,10,21,3,1,3,9,16,34,0,1
Jeff McNeil,L,33,2B,9,8,1,2,0,0,0,1,1,0,0,0
Joey Meneses,R,33,1B,419,385,37,102,35,1,11,55,29,62,2,0
Matt O'Neill,R,27,C,65,59,6,12,3,0,1,6,6,20,0,0
Rafael Ortega,L,34,RF,40,38,7,9,2,0,2,11,1,7,1,0
Kevin Parada,R,23,C,64,56,8,11,2,0,1,7,7,13,2,1
Jakson Reetz,R,29,C,150,132,21,26,3,0,11,26,12,38,1,1
Pablo Reyes,R,31,SS,189,159,25,46,11,1,6,25,22,29,4,2
Luke Ritter,R,28,3B,438,377,63,85,16,2,11,40,51,138,2,1
Ali Sanchez,R,28,C,12,11,1,2,1,0,0,4,0,3,0,0
Hayden Senger,R,28,C,182,165,24,36,3,1,5,17,10,44,2,1
Jon Singleton,L,33,1B,224,183,37,39,7,0,12,42,39,60,1,0
Jose Siri,R,29,CF,20,20,3,4,1,0,1,4,0,10,0,0
Travis Swaggerty,L,27,LF,25,19,3,6,1,0,0,5,4,7,0,0
Tyrone Taylor,R,31,CF,9,9,1,2,0,0,0,2,0,1,0,0
Luis Torrens,R,29,C,4,4,0,0,0,0,0,0,0,2,0,0
Onix Vega,R,26,C,8,7,0,0,0,0,0,1,1,2,0,0
Mark Vientos,R,25,3B,26,23,4,4,2,0,0,3,3,3,0,0
David Villar,R,28,1B,183,153,17,30,5,0,6,18,27,45,1,0
Donovan Walton,L,31,2B,295,257,42,57,7,0,11,37,30,39,1,1
Chris Williams,R,28,C,57,47,7,8,4,0,1,8,9,18,0,0
Jett Williams,R,21,SS,151,134,21,28,5,2,7,15,14,35,2,2
Jesse Winker,L,31,,9,7,1,1,0,0,1,2,2,1,0,0
Jared Young,L,29,LF,321,273,51,82,14,3,17,50,41,57,8,2
