Player,B,Age,PO,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS
Eliezer Alfonzo,B,25,C,33,32,4,7,1,0,0,3,0,4,0,0
Max Anderson,R,23,2B,147,135,24,36,6,0,5,23,8,28,1,0
Akil Baddoo,L,26,LF,457,385,71,108,21,6,15,48,68,112,25,4
Justice Bigbie,R,26,LF,4,4,1,1,0,0,1,1,0,0,0,0
Kerry Carpenter,L,27,RF,16,15,1,2,0,0,1,2,1,4,0,0
Trei Cruz,B,26,SS,241,190,39,54,11,2,6,31,48,55,8,3
Jack Dunn,R,28,SS,60,50,7,9,0,1,0,5,7,19,3,0
Ben Gamel,L,33,LF,72,61,6,16,5,0,0,4,10,22,2,1
David Hensley,R,29,1B,58,47,4,4,1,0,1,4,9,26,0,0
Brewer Hicklen,R,29,CF,254,216,37,49,8,2,8,31,29,77,18,1
Andy Ibanez,R,32,1B,160,139,11,36,9,1,2,16,18,30,4,2
Andrew Jenkins,R,24,1B,3,3,0,1,0,0,0,0,0,2,0,0
Jahmai Jones,R,27,LF,205,170,33,47,9,4,6,29,24,46,8,2
Jace Jung,L,24,3B,495,412,69,104,27,1,17,74,78,125,4,4
Ryan Kreidler,R,27,SS,343,283,44,71,25,4,4,37,50,93,13,8
Hao-Yu Lee,R,22,3B,579,497,81,121,23,8,14,61,65,121,22,5
Bligh Madris,L,29,1B,205,177,29,41,10,1,5,37,24,52,3,2
Justyn-Henry Malloy,R,25,1B,329,261,49,84,20,0,9,53,57,67,6,1
Manuel Margot,R,30,RF,144,128,14,27,2,1,1,16,12,27,0,1
Parker Meadows,L,25,CF,55,45,12,12,3,3,1,6,10,18,1,0
Carlos Mendoza,L,25,3B,57,52,5,17,4,1,2,10,2,9,7,2
Austin Murr,L,26,1B,27,24,3,5,1,0,1,8,2,10,0,0
Andrew Navigato,R,27,SS,376,335,46,70,16,2,11,45,28,116,10,6
Kevin Newman,R,31,SS,61,54,10,16,4,0,0,6,7,10,0,0
Tomas Nido,R,31,C,189,172,19,36,6,0,5,21,11,46,0,0
Wenceel Perez,B,25,RF,9,9,0,1,0,0,0,0,0,2,0,0
Jake Rogers,R,30,C,18,15,5,5,3,0,0,0,3,3,0,0
Stephen Scott,L,28,C,64,58,7,8,0,1,1,6,4,19,2,0
Brian Serven,R,30,C,233,198,28,46,7,0,3,28,28,59,1,0
Trey Sweeney,L,25,SS,52,43,9,14,2,0,2,6,7,11,4,1
Riley Unroe,B,29,RF,242,198,28,55,12,1,4,34,39,48,12,1
Eduardo Valencia,R,25,1B,215,185,35,59,13,2,13,55,27,41,0,0
Matt Vierling,R,28,RF,69,60,9,12,2,0,2,6,8,23,1,0
Gage Workman,L,25,SS,346,301,56,69,19,6,15,47,40,131,10,2
