Name,B,Age,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,Name-additional
Jorge Alfaro,R,32,326,307,49,75,10,1,15,49,12,0,11,119,player.fcgi?id=alfaro001jor
Drew Avans*,L,29,222,199,31,50,11,0,4,24,24,3,20,54,player.fcgi?id=avans-000dre
Jake Bauers*,L,29,22,19,4,4,1,0,3,5,0,0,3,8,player.fcgi?id=bauers000jak
Steward Berroa#,B,26,105,82,14,16,3,0,1,7,11,3,18,33,player.fcgi?id=berroa000ste
Tyler Black*,L,24,268,222,33,54,10,2,4,34,22,3,43,71,player.fcgi?id=black-001tyl
Daz Cameron,R,28,278,237,49,68,14,3,18,54,18,6,32,62,player.fcgi?id=camero000daz
Jackson Chourio,R,21,21,19,1,1,1,0,0,0,0,0,2,8,player.fcgi?id=chouri000jac
Wes Clarke,R,25,182,148,18,32,3,0,6,16,2,0,32,55,player.fcgi?id=clarke001wes
Bobby Dalbec,R,30,264,229,36,61,15,1,12,44,3,0,30,89,player.fcgi?id=dalbec000bob
Ray Delgado*,L,25,474,413,58,116,19,3,5,53,40,8,48,95,player.fcgi?id=delgad000ray
Oliver Dunn*,L,27,465,400,53,83,18,5,8,43,25,5,54,146,player.fcgi?id=dunn--001oli
Caleb Durbin,R,25,58,54,12,15,5,0,2,3,3,2,3,5,player.fcgi?id=durbin000cal
Eric Haase,R,32,77,64,6,13,4,0,1,15,0,0,11,20,player.fcgi?id=haase-000eri
Adam Hall,R,26,160,144,14,32,4,3,1,11,12,0,8,56,player.fcgi?id=hall--005ada
Jimmy Herron,R,28,270,237,33,52,5,1,3,23,18,0,23,59,player.fcgi?id=herron000jim
Rhys Hoskins,R,32,62,51,8,14,4,0,2,6,2,0,9,13,player.fcgi?id=hoskin000rhy
Nick Kahle,R,27,77,68,9,17,4,0,2,14,0,0,5,20,player.fcgi?id=kahle-000nic
Brandon Lockridge,R,28,63,57,12,20,3,0,0,7,4,0,6,11,player.fcgi?id=lockri000bra
Ernesto Martinez Jr.*,L,26,311,263,40,67,13,2,6,40,1,3,39,81,player.fcgi?id=martin004ern
Garrett Mitchell*,L,26,11,9,5,5,0,0,0,1,0,0,2,1,player.fcgi?id=mitche005gar
Andruw Monasterio,R,28,130,112,18,28,6,0,4,11,8,3,16,31,player.fcgi?id=monast000and
Ethan Murray,R,25,114,101,13,20,2,0,1,12,4,1,10,32,player.fcgi?id=murray000eth
Jared Oliva,R,29,398,349,63,88,15,4,11,44,57,6,35,82,player.fcgi?id=oliva-000jar
Blake Perkins#,B,28,34,26,6,5,1,0,1,2,2,1,8,13,player.fcgi?id=perkin000bla
Jeferson Quero,R,22,250,216,32,55,14,1,6,44,2,0,25,35,player.fcgi?id=quero-000jef
Eddie Rosario*,L,33,83,69,13,20,5,0,2,11,6,1,11,17,player.fcgi?id=rosari001edd
Anthony Seigler*,L,26,307,249,51,71,16,4,8,39,23,4,52,59,player.fcgi?id=seigle000ant
Garrett Spain*,L,24,43,37,4,6,2,0,0,2,3,0,4,15,player.fcgi?id=spain-002gar
Luis Urías,R,28,57,50,6,13,3,0,1,11,1,0,6,6,player.fcgi?id=urias-000lui
Andrew Vaughn,R,27,65,58,8,15,3,1,3,16,0,0,7,13,player.fcgi?id=vaughn000and
Freddy Zamora,R,26,396,339,49,87,19,0,4,46,13,7,50,70,player.fcgi?id=zamora000fre
