Name,Age,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,Name-additional
Luisangel Acuña,23,122,109,16,33,7,1,0,10,8,2,9,19,player.fcgi?id=acuna-003jos
Francisco Alvarez,23,107,93,19,24,4,0,12,28,0,0,11,33,player.fcgi?id=alvare006fra
José Azocar,29,291,261,41,63,13,2,4,28,17,6,24,59,player.fcgi?id=azocar000jos
Brett Baty*,25,11,10,2,3,2,0,0,3,0,0,1,3,player.fcgi?id=baty--000bre
Carson Benge*,22,103,90,12,16,1,1,3,13,3,0,9,19,player.fcgi?id=benge-000car
Diego Castillo,27,46,42,1,7,1,0,1,5,0,0,3,10,player.fcgi?id=castil001die
Gilberto Celestino,26,426,372,66,101,12,1,9,40,13,2,51,93,player.fcgi?id=celest000gil
Ryan Clifford*,21,142,114,15,25,5,0,5,18,3,2,22,35,player.fcgi?id=cliffo000rya
Luis De Los Santos,27,382,356,51,86,11,0,8,42,3,1,18,95,player.fcgi?id=deloss004lui
Omar De Los Santos,25,33,33,5,10,0,1,3,8,2,2,0,14,player.fcgi?id=deloss002oma
Drew Gilbert*,24,361,305,45,74,17,2,12,47,4,3,41,60,player.fcgi?id=gilber002and
Niko Goodrum#,33,46,35,6,8,3,0,1,3,2,2,8,12,player.fcgi?id=goodru001car
Yonny Hernández#,27,361,314,48,102,16,3,1,33,8,3,35,35,player.fcgi?id=hernan002yon
Travis Jankowski*,34,38,35,7,7,0,0,1,5,2,0,3,7,player.fcgi?id=jankow000tra
Rowdey Jordan,26,8,8,1,2,0,0,0,1,0,0,0,3,player.fcgi?id=jordan000row
Ronny Mauricio#,24,39,33,10,17,1,0,3,8,4,1,5,5,player.fcgi?id=mauric000ron
Billy McKinney*,30,130,114,10,21,3,1,3,9,0,1,16,34,player.fcgi?id=mckinn002bil
Jeff McNeil*,33,9,8,1,2,0,0,0,1,0,0,1,0,player.fcgi?id=mcneil000jef
Joey Meneses,33,419,385,37,102,35,1,11,55,2,0,29,62,player.fcgi?id=menese000joe
Matt O'Neill,27,65,59,6,12,3,0,1,6,0,0,6,20,player.fcgi?id=oneill000mat
Rafael Ortega*,34,40,38,7,9,2,0,2,11,1,0,1,7,player.fcgi?id=ortega002raf
Kevin Parada,23,64,56,8,11,2,0,1,7,2,1,7,13,player.fcgi?id=parada000kev
Jakson Reetz,29,150,132,21,26,3,0,11,26,1,1,12,38,player.fcgi?id=reetz-000jak
Pablo Reyes,31,189,159,25,46,11,1,6,25,4,2,22,29,player.fcgi?id=reyes-004pab
Luke Ritter,28,438,377,63,85,16,2,11,40,2,1,51,138,player.fcgi?id=ritter000luk
Ali Sánchez,28,12,11,1,2,1,0,0,4,0,0,0,3,player.fcgi?id=sanche002ali
Hayden Senger,28,182,165,24,36,3,1,5,17,2,1,10,44,player.fcgi?id=senger000hay
Jon Singleton*,33,224,183,37,39,7,0,12,42,1,0,39,60,player.fcgi?id=single001jon
Jose Siri,29,20,20,3,4,1,0,1,4,0,0,0,10,player.fcgi?id=siri--000jos
Travis Swaggerty*,27,25,19,3,6,1,0,0,5,0,0,4,7,player.fcgi?id=swagge000tra
Tyrone Taylor,31,9,9,1,2,0,0,0,2,0,0,0,1,player.fcgi?id=taylor000tyr
Luis Torrens,29,4,4,0,0,0,0,0,0,0,0,0,2,player.fcgi?id=torren002lui
Onix Vega,26,8,7,0,0,0,0,0,1,0,0,1,2,player.fcgi?id=vega--000oni
Mark Vientos,25,26,23,4,4,2,0,0,3,0,0,3,3,player.fcgi?id=viento000mar
David Villar,28,183,153,17,30,5,0,6,18,1,0,27,45,player.fcgi?id=villar000dav
Donovan Walton*,31,295,257,42,57,7,0,11,37,1,1,30,39,player.fcgi?id=walton000don
Chris Williams,28,57,47,7,8,4,0,1,8,0,0,9,18,player.fcgi?id=willia013chr
Jett Williams,21,151,134,21,28,5,2,7,15,2,2,14,35,player.fcgi?id=willia000jet
Jesse Winker*,31,9,7,1,1,0,0,1,2,0,0,2,1,player.fcgi?id=winker001jes
Jared Young*,29,321,273,51,82,14,3,17,50,8,2,41,57,player.fcgi?id=young-000jar
