Player,B,Age,PO,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS
Wilyer Abreu,L,26,RF,7,6,1,1,0,0,0,1,1,2,0,0
Roman Anthony,L,21,LF,265,212,45,61,9,2,10,29,51,56,3,3
Alex Binelas,L,25,1B,41,35,9,9,1,0,2,6,4,17,1,1
Kristian Campbell,R,23,1B,319,271,46,74,11,2,8,38,38,84,4,0
Nate Eaton,R,28,3B,400,348,64,101,25,3,12,55,37,88,15,6
Max Ferguson,L,25,2B,68,61,7,17,5,0,2,9,6,17,3,0
Jhostynxon Garcia,R,22,CF,351,317,60,86,12,3,18,58,27,102,3,0
Romy Gonzalez,R,28,1B,8,7,1,0,0,0,0,0,1,0,0,0
Yasmani Grandal,B,36,C,94,78,8,20,5,0,2,16,13,15,0,0
Vaughn Grissom,R,24,2B,418,370,69,100,24,0,13,48,37,73,9,2
David Hamilton,L,27,2B,45,39,9,11,2,1,2,4,5,6,6,0
Ronaldo Hernandez,R,27,C,16,15,0,1,0,0,0,1,1,3,0,0
Nathan Hickey,L,25,1B,514,448,45,105,23,2,17,75,59,141,2,0
Blaze Jordan,R,22,3B,182,171,29,51,11,1,6,25,11,19,0,1
Mark Kolozsvary,R,29,C,24,22,3,10,3,0,1,8,2,3,0,0
Enderso Lira,R,21,,4,3,1,1,0,0,0,0,1,2,0,0
Marcelo Mayer,L,22,SS,193,170,31,46,5,1,9,43,20,38,2,0
Tyler McDonough,B,26,SS,299,268,32,68,12,2,5,27,26,73,6,5
Ryan Noda,L,29,1B,54,37,9,14,3,0,3,13,12,12,2,0
Mikey Romero,L,21,3B,192,177,21,41,15,0,9,36,11,58,1,1
Corey Rosier,L,25,LF,296,249,36,62,13,0,5,30,42,56,16,8
Blake Sabol,L,27,C,167,144,15,24,8,1,3,17,21,51,7,0
Phillip Sikes,R,26,RF,195,170,22,34,5,0,6,20,16,69,4,2
Karson Simas,R,24,2B,69,61,10,20,3,0,1,9,8,19,4,1
Nick Sogard,B,27,SS,409,340,64,94,22,0,5,28,64,73,16,4
Trayce Thompson,R,34,CF,388,341,48,77,20,1,13,44,42,128,11,1
Abraham Toro,B,28,3B,216,184,31,50,9,2,8,27,27,56,3,0
Chadwick Tromp,R,30,C,104,96,6,13,3,0,0,8,6,29,2,0
Connor Wong,R,29,C,14,11,2,4,1,0,1,3,2,2,0,0
Masataka Yoshida,L,31,LF,6,5,1,1,0,0,0,0,1,1,0,0
Seby Zavala,R,31,C,250,212,28,35,11,1,8,25,32,94,2,0
